order_id,region,UPDATE REGION,category,sales,discount,Discount value,quantity,order_date,delivery_date,customer_type,payment_mode,profit,Update city,city,Net revenue
ORD100014,West,EAST,Clothing,4464.89,0.39,1741.3071,5,01-05-2024,01-12-2024,Regular,UPI,804.36,Pune,Pune,2723.5829
ORD100015,North,WEST,Personal Care,1593.67,0.21,334.6707,7,10/18/2024,10/22/2024,Member,Card,284.91,Chennai,Chennai,1258.9993
ORD100016,West,NORTH,Electronics,3292.32,0.05,164.616,1,4/26/2023,4/27/2023,Member,Card,504.83,Mumbai,Mumbai,3127.704
ORD100017,West,SOUTH,Clothing,3727.53,0.31,1155.5343,5,10/29/2023,11-05-2023,Regular,Card,978.07,Chennai,Chennai,2571.9957
ORD100018,West,EAST,Clothing,3964.23,0.28,1109.9844,9,06-05-2024,06-08-2024,Member,UPI,260.95,Bangalore,Bangalore,2854.2456
ORD100019,East,WEST,Grocery,4974.32,0.48,2387.6736,3,05-01-2023,05-05-2023,Regular,Card,727.29,Delhi,Delhi,2586.6464
ORD100020,South,NORTH,Home Care,4035.64,0.08,322.8512,2,10/21/2024,10/28/2024,Regular,Cash,798.81,Delhi,Delhi,3712.7888
ORD100021,North,SOUTH,Grocery,3319.36,0.33,1095.3888,2,8/15/2023,8/21/2023,Member,Cash,920.22,Bangalore,Bangalore,2223.9712
ORD100022,South,EAST,Personal Care,4487.77,0.24,1077.0648,3,12/31/2024,01-02-2025,Regular,Card,931.37,Pune,Pune,3410.7052
ORD100023,West,WEST,Electronics,4538.15,0.19,862.2485,1,3/20/2023,3/23/2023,Regular,Cash,375.7,Delhi,Delhi,3675.9015
ORD100024,West,NORTH,Home Care,4868.52,0.4,1947.408,2,12-12-2023,12/13/2023,Regular,Cash,1072.26,Mumbai,Mumbai,2921.112
ORD100025,South,SOUTH,Grocery,3904.68,0.41,1600.9188,6,5/20/2023,5/26/2023,Regular,Card,526.66,Hyderabad,Hyderabad,2303.7612
ORD100026,South,EAST,Clothing,1055.14,0.36,379.8504,8,6/19/2024,6/25/2024,Member,UPI,207.61,Chennai,Chennai,675.2896
ORD100027,South,WEST,Clothing,3578.05,0.04,143.122,4,10/16/2023,10/18/2023,New,Card,689.74,Mumbai,Mumbai,3434.928
ORD100028,West,NORTH,Home Care,468.13,0.17,79.5821,2,11/25/2023,12-01-2023,Member,UPI,43.58,Hyderabad,Hyderabad,388.5479
ORD100029,West,SOUTH,Clothing,1658.02,0.02,33.1604,5,03-05-2024,03-06-2024,New,Cash,422.33,Delhi,Delhi,1624.8596
ORD100030,North,EAST,Grocery,667.46,0.17,113.4682,3,04-10-2023,4/15/2023,New,Card,123.49,Pune,Pune,553.9918
ORD100031,North,WEST,Grocery,4754.72,0.32,1521.5104,5,8/23/2024,8/27/2024,New,Cash,697.03,Chennai,Chennai,3233.2096
ORD100032,West,NORTH,Clothing,1759.9,0.26,457.574,3,01-07-2023,1/13/2023,Regular,Cash,178.58,Delhi,Delhi,1302.326
ORD100033,South,SOUTH,Clothing,3594.76,0.35,1258.166,4,6/20/2023,6/22/2023,New,UPI,1002.97,Delhi,Delhi,2336.594
ORD100034,South,EAST,Personal Care,2899.46,0.28,811.8488,5,9/20/2023,9/21/2023,Regular,Cash,320.43,Bangalore,Bangalore,2087.6112
ORD100035,North,WEST,Electronics,626.81,0.28,175.5068,7,01-07-2024,01-12-2024,Regular,UPI,177.84,Mumbai,Mumbai,451.3032
ORD100036,West,NORTH,Home Care,2850.59,0.26,741.1534,2,6/27/2024,07-01-2024,Regular,Card,528.38,Chennai,Chennai,2109.4366
ORD100037,North,SOUTH,Grocery,3339.02,0.18,601.0236,6,12/25/2024,12/26/2024,Member,Cash,586.69,Hyderabad,Hyderabad,2737.9964
ORD100038,North,EAST,Home Care,4419.43,0.22,972.2746,6,05-11-2024,5/14/2024,New,UPI,742.22,Pune,Pune,3447.1554
ORD100039,East,WEST,Personal Care,443.42,0.06,26.6052,6,2/28/2023,03-05-2023,Member,Card,119.91,Bangalore,Bangalore,416.8148
ORD100040,East,NORTH,Grocery,1548.61,0.42,650.4162,7,12-01-2023,12-03-2023,Regular,Cash,392.57,Pune,Pune,898.1938
ORD100041,East,SOUTH,Personal Care,3492.47,0.44,1536.6868,3,1/30/2023,1/31/2023,Member,Card,765.08,Mumbai,Mumbai,1955.7832
ORD100042,South,EAST,Personal Care,268.23,0.38,101.9274,5,9/17/2023,9/19/2023,Regular,Cash,48.54,Hyderabad,Hyderabad,166.3026
ORD100043,West,WEST,Clothing,1097.41,0.29,318.2489,9,6/29/2024,07-02-2024,Member,Cash,235.05,Mumbai,Mumbai,779.1611
ORD100044,West,NORTH,Home Care,1171.48,0.28,328.0144,9,5/17/2023,5/19/2023,Regular,Card,129.8,Chennai,Chennai,843.4656
ORD100045,West,SOUTH,Home Care,3379.7,0.24,811.128,7,11-12-2023,11/17/2023,Regular,Cash,588.79,Chennai,Chennai,2568.572
ORD100046,West,EAST,Clothing,1501.21,0.12,180.1452,9,04-04-2024,04-08-2024,Member,Card,127.89,Pune,Pune,1321.0648
ORD100047,East,WEST,Home Care,3038.02,0.19,577.2238,3,02-12-2024,2/19/2024,Regular,Cash,249.34,Chennai,Chennai,2460.7962
ORD100048,South,NORTH,Clothing,4830.21,0.49,2366.8029,7,9/18/2024,9/25/2024,New,Cash,1097.26,Chennai,Chennai,2463.4071
ORD100049,South,SOUTH,Grocery,3986.89,0.07,279.0823,1,07-02-2023,07-03-2023,Member,Cash,1139.21,Hyderabad,Hyderabad,3707.8077
ORD100050,East,EAST,Personal Care,1731.22,0.27,467.4294,7,09-04-2023,09-11-2023,Member,UPI,433.9,Bangalore,Bangalore,1263.7906
ORD100051,South,WEST,Personal Care,2414.76,0.43,1038.3468,3,1/29/2023,02-04-2023,Regular,Cash,687.58,Hyderabad,Hyderabad,1376.4132
ORD100052,East,NORTH,Home Care,1083.3,0.23,249.159,3,11-06-2023,11-10-2023,Member,Cash,114.25,Mumbai,Mumbai,834.141
ORD100053,West,SOUTH,Electronics,177.03,0.3,53.109,7,6/28/2023,6/29/2023,New,UPI,20.43,Hyderabad,Hyderabad,123.921
ORD100054,East,EAST,Personal Care,1519.61,0.41,623.0401,8,5/19/2024,5/26/2024,Member,UPI,237.01,Delhi,Delhi,896.5699
ORD100055,West,WEST,Clothing,1910.1,0.27,515.727,4,01-12-2024,1/14/2024,New,Cash,278.48,Pune,Pune,1394.373
ORD100056,West,NORTH,Electronics,2865.4,0.37,1060.198,1,10-05-2023,10-07-2023,Member,Cash,356.81,Pune,Pune,1805.202
ORD100057,North,SOUTH,Electronics,4725.93,0.17,803.4081,5,4/27/2024,05-04-2024,New,Cash,581.75,Chennai,Chennai,3922.5219
ORD100058,East,EAST,Personal Care,4744.48,0.37,1755.4576,4,10-03-2023,10-08-2023,Member,Card,1320.22,Bangalore,Bangalore,2989.0224
ORD100059,North,WEST,Personal Care,443.48,0.02,8.8696,9,10/20/2023,10/22/2023,New,Card,42.23,Delhi,Delhi,434.6104
ORD100060,East,NORTH,Personal Care,3111.76,0.08,248.9408,3,05-08-2023,05-11-2023,Regular,Card,835.81,Bangalore,Bangalore,2862.8192
ORD100061,East,SOUTH,Clothing,307.53,0.32,98.4096,4,11-03-2023,11-08-2023,Member,Cash,54.58,Pune,Pune,209.1204
ORD100062,North,EAST,Electronics,3275.6,0.22,720.632,3,3/14/2023,3/15/2023,Member,Cash,922.83,Chennai,Chennai,2554.968
ORD100063,North,WEST,Home Care,676.75,0.41,277.4675,3,01-08-2024,01-10-2024,New,Card,36.86,Mumbai,Mumbai,399.2825
ORD100064,East,NORTH,Clothing,4737.37,0.17,805.3529,7,12/26/2024,12/27/2024,Member,UPI,499.78,Bangalore,Bangalore,3932.0171
ORD100065,South,SOUTH,Grocery,4335.26,0.38,1647.3988,5,03-09-2024,03-11-2024,New,UPI,757.48,Delhi,Delhi,2687.8612
ORD100066,West,EAST,Personal Care,209.41,0.07,14.6587,5,12/20/2024,12/25/2024,Regular,Cash,17.88,Pune,Pune,194.7513
ORD100067,North,WEST,Electronics,3932.45,0.47,1848.2515,4,03-03-2023,03-09-2023,New,Cash,408.02,Bangalore,Bangalore,2084.1985
ORD100068,West,NORTH,Clothing,3215.9,0.21,675.339,8,2/13/2023,2/16/2023,Member,Cash,542.06,Delhi,Delhi,2540.561
ORD100069,South,SOUTH,Grocery,2527.31,0.12,303.2772,1,01-05-2024,01-06-2024,Regular,Card,611.45,Pune,Pune,2224.0328
ORD100070,South,EAST,Clothing,3052.91,0.39,1190.6349,9,06-06-2024,06-10-2024,New,Card,752,Delhi,Delhi,1862.2751
ORD100071,South,WEST,Clothing,3423.43,0.47,1609.0121,9,11/24/2024,11/26/2024,New,Card,698.02,Bangalore,Bangalore,1814.4179
ORD100072,North,NORTH,Home Care,4433.84,0.46,2039.5664,5,11/25/2024,11/30/2024,Regular,Cash,1229.3,Chennai,Chennai,2394.2736
ORD100073,South,SOUTH,Home Care,3860.05,0.12,463.206,1,03-02-2023,03-09-2023,Member,UPI,800.39,Bangalore,Bangalore,3396.844
ORD100074,North,EAST,Clothing,2919.35,0.34,992.579,2,4/27/2024,4/28/2024,Member,Card,163.35,Chennai,Chennai,1926.771
ORD100075,South,WEST,Grocery,4140.62,0.27,1117.9674,2,6/29/2023,07-06-2023,Member,UPI,743.22,Bangalore,Bangalore,3022.6526
ORD100076,West,NORTH,Electronics,4935.92,0.36,1776.9312,6,9/26/2024,10-01-2024,Regular,UPI,1440.78,Delhi,Delhi,3158.9888
ORD100077,West,SOUTH,Electronics,1570.89,0.24,377.0136,9,1/22/2023,1/23/2023,New,UPI,336.22,Delhi,Delhi,1193.8764
ORD100078,East,EAST,Personal Care,680.26,0.23,156.4598,3,5/29/2024,06-01-2024,Regular,UPI,151.09,Bangalore,Bangalore,523.8002
ORD100079,West,WEST,Personal Care,3684.1,0.44,1621.004,8,12/16/2024,12/23/2024,New,UPI,289.32,Pune,Pune,2063.096
ORD100080,East,NORTH,Electronics,4895.12,0.44,2153.8528,2,11/28/2024,12-04-2024,Regular,Card,684.94,Chennai,Chennai,2741.2672
ORD100081,West,SOUTH,Clothing,671.86,0.39,262.0254,5,11/13/2024,11/15/2024,New,UPI,175.75,Hyderabad,Hyderabad,409.8346
ORD100082,North,EAST,Clothing,2215.37,0.35,775.3795,4,7/26/2024,08-02-2024,New,Cash,171.87,Mumbai,Mumbai,1439.9905
ORD100083,West,WEST,Home Care,405.11,0.34,137.7374,5,12/15/2023,12/16/2023,Regular,Card,105.25,Hyderabad,Hyderabad,267.3726
ORD100084,East,NORTH,Home Care,3905.01,0.03,117.1503,4,7/18/2024,7/25/2024,Regular,UPI,754.77,Hyderabad,Hyderabad,3787.8597
ORD100085,East,SOUTH,Personal Care,4748.67,0.37,1757.0079,1,11-03-2024,11-07-2024,Regular,UPI,705.01,Pune,Pune,2991.6621
ORD100086,South,EAST,Electronics,2545.07,0.32,814.4224,1,08-12-2023,8/14/2023,New,Card,719.11,Delhi,Delhi,1730.6476
ORD100087,North,WEST,Clothing,2106.65,0.15,315.9975,6,6/20/2024,6/22/2024,Regular,UPI,120.84,Delhi,Delhi,1790.6525
ORD100088,West,NORTH,Electronics,4547.82,0.41,1864.6062,8,11-02-2023,11-07-2023,New,Cash,1281.1,Chennai,Chennai,2683.2138
ORD100089,South,SOUTH,Grocery,753.6,0.42,316.512,7,10/30/2023,11-01-2023,New,UPI,203.17,Mumbai,Mumbai,437.088
ORD100090,West,EAST,Electronics,4468.76,0.47,2100.3172,4,9/25/2024,9/26/2024,Regular,Card,1325.93,Mumbai,Mumbai,2368.4428
ORD100091,West,WEST,Grocery,2021.42,0.21,424.4982,5,11/28/2024,12-01-2024,Member,Card,311.67,Hyderabad,Hyderabad,1596.9218
ORD100092,South,NORTH,Home Care,2841.09,0.28,795.5052,8,12/22/2023,12/23/2023,Member,Card,469.27,Chennai,Chennai,2045.5848
ORD100093,South,SOUTH,Home Care,2688.63,0.45,1209.8835,6,7/31/2024,08-06-2024,New,Cash,608.51,Mumbai,Mumbai,1478.7465
ORD100094,South,EAST,Personal Care,3118.3,0.16,498.928,8,12/19/2024,12/21/2024,New,UPI,241.86,Bangalore,Bangalore,2619.372
ORD100095,South,WEST,Electronics,4716.4,0.4,1886.56,6,9/26/2023,9/30/2023,Member,Card,523.02,Delhi,Delhi,2829.84
ORD100096,South,NORTH,Electronics,4760.52,0.5,2380.26,8,1/15/2023,1/21/2023,New,Cash,764.06,Hyderabad,Hyderabad,2380.26
ORD100097,West,SOUTH,Grocery,4172.63,0.33,1376.9679,4,06-01-2024,06-05-2024,Member,Cash,957.31,Mumbai,Mumbai,2795.6621
ORD100098,South,EAST,Home Care,1038.57,0.49,508.8993,2,09-10-2023,9/16/2023,New,Card,180.83,Bangalore,Bangalore,529.6707
ORD100099,North,WEST,Grocery,1734.23,0.26,450.8998,3,3/26/2023,3/27/2023,New,Card,186.24,Hyderabad,Hyderabad,1283.3302
ORD100100,East,NORTH,Home Care,2490.34,0.08,199.2272,5,07-07-2024,07-08-2024,Regular,Cash,306.17,Hyderabad,Hyderabad,2291.1128
ORD100101,South,SOUTH,Grocery,4536.76,0.09,408.3084,4,12/30/2024,12/31/2024,Member,Card,1077.11,Bangalore,Bangalore,4128.4516
ORD100102,South,EAST,Home Care,2652.24,0.37,981.3288,5,06-12-2023,6/13/2023,New,Card,666.98,Delhi,Delhi,1670.9112
ORD100103,West,WEST,Grocery,4889.43,0,0,1,8/25/2023,09-01-2023,Member,Cash,777.62,Chennai,Chennai,4889.43
ORD100104,South,NORTH,Home Care,4920.82,0.33,1623.8706,1,3/23/2023,3/28/2023,Regular,UPI,483.88,Mumbai,Mumbai,3296.9494
ORD100105,South,SOUTH,Grocery,3033.06,0.08,242.6448,2,08-12-2024,8/13/2024,Member,Card,587.57,Bangalore,Bangalore,2790.4152
ORD100106,South,EAST,Electronics,4399.73,0.49,2155.8677,2,02-06-2024,02-11-2024,New,Cash,660.08,Bangalore,Bangalore,2243.8623
ORD100107,West,WEST,Personal Care,4996.19,0.08,399.6952,8,5/28/2023,5/30/2023,Member,Card,1047.87,Hyderabad,Hyderabad,4596.4948
ORD100108,South,NORTH,Grocery,4263.61,0.28,1193.8108,4,03-12-2024,3/13/2024,Regular,Card,1092.43,Pune,Pune,3069.7992
ORD100109,East,SOUTH,Personal Care,3318.86,0.33,1095.2238,6,09-12-2024,9/19/2024,Member,UPI,604.07,Hyderabad,Hyderabad,2223.6362
ORD100110,West,EAST,Electronics,4241.15,0.41,1738.8715,2,7/13/2024,7/14/2024,Member,Card,1168.31,Pune,Pune,2502.2785
ORD100111,East,WEST,Electronics,505.01,0.23,116.1523,1,06-04-2023,06-11-2023,Member,Card,71.8,Bangalore,Bangalore,388.8577
ORD100112,West,NORTH,Home Care,3210.62,0.47,1508.9914,7,08-10-2024,8/14/2024,Member,Card,546.45,Chennai,Chennai,1701.6286
ORD100113,South,SOUTH,Personal Care,1160.96,0.24,278.6304,4,05-09-2023,05-11-2023,New,Cash,223.68,Mumbai,Mumbai,882.3296
ORD100114,East,EAST,Clothing,668.71,0.13,86.9323,4,4/29/2023,05-01-2023,Member,Card,153.62,Hyderabad,Hyderabad,581.7777
ORD100115,West,WEST,Home Care,4475.07,0.3,1342.521,2,9/27/2023,9/28/2023,Regular,Card,815.29,Delhi,Delhi,3132.549
ORD100116,North,NORTH,Personal Care,3234.26,0.33,1067.3058,9,2/20/2024,2/27/2024,Member,Cash,817.55,Mumbai,Mumbai,2166.9542
ORD100117,South,SOUTH,Grocery,1293.38,0.25,323.345,2,01-10-2023,01-12-2023,Regular,Card,289.92,Chennai,Chennai,970.035
ORD100118,West,EAST,Grocery,1995.23,0.37,738.2351,5,2/14/2024,2/17/2024,Regular,Card,274.36,Pune,Pune,1256.9949
ORD100119,North,WEST,Electronics,4869.06,0.21,1022.5026,6,08-11-2023,8/17/2023,Regular,Card,1022.41,Bangalore,Bangalore,3846.5574
ORD100120,West,NORTH,Clothing,4324.69,0,0,3,7/30/2024,08-03-2024,Regular,UPI,558.65,Chennai,Chennai,4324.69
ORD100121,North,SOUTH,Grocery,176.35,0.13,22.9255,3,6/27/2023,6/29/2023,New,Cash,40.41,Pune,Pune,153.4245
ORD100122,South,EAST,Personal Care,4901.02,0.47,2303.4794,6,6/26/2023,6/29/2023,Member,Cash,1045.7,Pune,Pune,2597.5406
ORD100123,East,WEST,Personal Care,1905.79,0.38,724.2002,5,6/27/2024,07-04-2024,Member,Cash,179.78,Mumbai,Mumbai,1181.5898
ORD100124,North,NORTH,Grocery,3507.55,0.09,315.6795,5,7/30/2024,7/31/2024,New,UPI,789.67,Chennai,Chennai,3191.8705
ORD100125,West,SOUTH,Personal Care,3592.12,0.03,107.7636,5,1/26/2023,1/30/2023,Member,Cash,296.98,Mumbai,Mumbai,3484.3564
ORD100126,South,EAST,Personal Care,4567.25,0.18,822.105,9,7/16/2023,7/22/2023,New,Cash,333.34,Mumbai,Mumbai,3745.145
ORD100127,North,WEST,Electronics,4436.8,0.42,1863.456,8,2/14/2024,2/18/2024,Regular,Cash,934.84,Bangalore,Bangalore,2573.344
ORD100128,West,NORTH,Clothing,1480.47,0.05,74.0235,4,03-06-2023,03-10-2023,Member,Card,197.42,Chennai,Chennai,1406.4465
ORD100129,West,SOUTH,Electronics,3253.32,0.27,878.3964,6,4/22/2024,4/25/2024,Regular,UPI,293.4,Chennai,Chennai,2374.9236
ORD100130,West,EAST,Clothing,2029.16,0.14,284.0824,5,1/31/2024,02-05-2024,Member,Card,602.37,Hyderabad,Hyderabad,1745.0776
ORD100131,North,WEST,Personal Care,2675.16,0.36,963.0576,6,4/28/2024,05-02-2024,Member,Cash,715.56,Hyderabad,Hyderabad,1712.1024
ORD100132,North,NORTH,Clothing,2817.92,0,0,8,10/25/2024,10/28/2024,Member,Card,265.5,Pune,Pune,2817.92
ORD100133,North,SOUTH,Personal Care,2042.08,0.14,285.8912,6,07-02-2023,07-08-2023,Regular,Cash,583.83,Bangalore,Bangalore,1756.1888
ORD100134,East,EAST,Personal Care,2373.08,0.34,806.8472,6,8/23/2024,8/30/2024,New,Card,478.2,Delhi,Delhi,1566.2328
ORD100135,North,WEST,Electronics,1120.88,0.27,302.6376,2,9/21/2023,9/26/2023,Regular,Card,201.73,Delhi,Delhi,818.2424
ORD100136,North,NORTH,Electronics,3077.47,0.39,1200.2133,7,12-01-2024,12-08-2024,New,UPI,428.41,Chennai,Chennai,1877.2567
ORD100137,North,SOUTH,Home Care,3818.9,0.08,305.512,3,1/27/2023,1/30/2023,Member,Cash,497.78,Chennai,Chennai,3513.388
ORD100138,East,EAST,Grocery,2205.73,0.27,595.5471,7,09-08-2023,09-11-2023,Member,UPI,167.08,Bangalore,Bangalore,1610.1829
ORD100139,North,WEST,Home Care,4890.63,0.1,489.063,5,5/22/2024,5/25/2024,Member,Cash,466.35,Pune,Pune,4401.567
ORD100140,West,NORTH,Home Care,380.41,0.32,121.7312,4,12-03-2024,12-07-2024,Member,Cash,44.61,Hyderabad,Hyderabad,258.6788
ORD100141,North,SOUTH,Clothing,2986.89,0.07,209.0823,1,05-08-2023,05-09-2023,Regular,Cash,699.11,Delhi,Delhi,2777.8077
ORD100142,West,EAST,Personal Care,2959.64,0.07,207.1748,8,2/20/2024,2/26/2024,New,Card,858.27,Mumbai,Mumbai,2752.4652
ORD100143,West,WEST,Personal Care,277.85,0.16,44.456,2,2/23/2024,2/27/2024,New,UPI,46.23,Mumbai,Mumbai,233.394
ORD100144,West,NORTH,Personal Care,1200.39,0.2,240.078,8,10/17/2024,10/23/2024,New,Cash,171.37,Mumbai,Mumbai,960.312
ORD100145,East,SOUTH,Grocery,4537.16,0.25,1134.29,7,2/24/2024,03-01-2024,Member,Cash,1201.33,Bangalore,Bangalore,3402.87
ORD100146,East,EAST,Clothing,2768.12,0.29,802.7548,3,10/31/2024,11-04-2024,Regular,Card,609.51,Hyderabad,Hyderabad,1965.3652
ORD100147,East,WEST,Clothing,2238.29,0.23,514.8067,7,8/17/2023,8/21/2023,Member,Cash,248.9,Bangalore,Bangalore,1723.4833
ORD100148,North,NORTH,Personal Care,2135.93,0.02,42.7186,1,6/27/2024,07-01-2024,New,Cash,394.17,Chennai,Chennai,2093.2114
ORD100149,West,SOUTH,Home Care,4451.99,0.17,756.8383,5,3/20/2023,3/25/2023,Regular,Card,1205.9,Pune,Pune,3695.1517
ORD100150,East,EAST,Grocery,1898.45,0.03,56.9535,2,2/25/2023,03-02-2023,Regular,Card,408.16,Hyderabad,Hyderabad,1841.4965
ORD100151,East,WEST,Home Care,4309.92,0.06,258.5952,2,2/23/2023,2/26/2023,Member,Card,617.32,Mumbai,Mumbai,4051.3248
ORD100152,North,NORTH,Electronics,1615.04,0.05,80.752,3,2/18/2024,2/20/2024,Regular,UPI,253.65,Mumbai,Mumbai,1534.288
ORD100153,East,SOUTH,Clothing,2704.37,0.08,216.3496,7,4/17/2024,4/23/2024,Regular,UPI,742.76,Pune,Pune,2488.0204
ORD100154,North,EAST,Clothing,804.72,0.41,329.9352,2,6/15/2024,6/17/2024,Regular,UPI,182.68,Chennai,Chennai,474.7848
ORD100155,South,WEST,Home Care,4142.65,0.31,1284.2215,4,7/21/2023,7/22/2023,Member,Cash,735.37,Chennai,Chennai,2858.4285
ORD100156,East,NORTH,Grocery,3706.28,0.25,926.57,4,08-11-2023,8/18/2023,Member,UPI,813.65,Hyderabad,Hyderabad,2779.71
ORD100157,South,SOUTH,Clothing,2697.46,0.37,998.0602,1,05-09-2023,05-12-2023,Regular,Cash,597.1,Chennai,Chennai,1699.3998
ORD100158,North,EAST,Home Care,226.92,0.48,108.9216,7,11/26/2023,12-02-2023,Member,UPI,43.53,Pune,Pune,117.9984
ORD100159,West,WEST,Grocery,2458.16,0.21,516.2136,4,10/19/2024,10/20/2024,Regular,Cash,508.56,Hyderabad,Hyderabad,1941.9464
ORD100160,East,NORTH,Home Care,1203.46,0.18,216.6228,1,3/16/2024,3/21/2024,New,Cash,166.4,Hyderabad,Hyderabad,986.8372
ORD100161,North,SOUTH,Grocery,2125.53,0.49,1041.5097,3,05-08-2023,05-12-2023,New,Card,292.08,Bangalore,Bangalore,1084.0203
ORD100162,West,EAST,Personal Care,4296.49,0.39,1675.6311,8,5/21/2023,5/28/2023,Regular,UPI,579.12,Pune,Pune,2620.8589
ORD100163,West,WEST,Grocery,3871.06,0.39,1509.7134,4,4/14/2024,4/21/2024,New,Card,230.99,Mumbai,Mumbai,2361.3466
ORD100164,South,NORTH,Electronics,1285.57,0.3,385.671,1,08-04-2024,08-05-2024,New,Cash,330.45,Chennai,Chennai,899.899
ORD100165,North,SOUTH,Personal Care,4926.27,0.25,1231.5675,7,06-10-2023,06-11-2023,New,Cash,440.26,Chennai,Chennai,3694.7025
ORD100166,West,EAST,Home Care,4525.73,0.28,1267.2044,8,3/24/2024,3/29/2024,Regular,UPI,332.86,Mumbai,Mumbai,3258.5256
ORD100167,East,WEST,Personal Care,2690.5,0.33,887.865,5,5/29/2024,06-01-2024,Member,Cash,418.96,Delhi,Delhi,1802.635
ORD100168,East,NORTH,Personal Care,2697.74,0.19,512.5706,9,1/24/2024,1/28/2024,Regular,UPI,458.18,Pune,Pune,2185.1694
ORD100169,South,SOUTH,Home Care,4516.2,0.39,1761.318,7,06-07-2024,6/14/2024,Regular,UPI,522.95,Mumbai,Mumbai,2754.882
ORD100170,West,EAST,Home Care,3217.11,0.45,1447.6995,4,10/16/2023,10/20/2023,Member,UPI,930.19,Delhi,Delhi,1769.4105
ORD100171,North,WEST,Electronics,2729.77,0.29,791.6333,9,05-03-2024,05-06-2024,Regular,Card,250.2,Delhi,Delhi,1938.1367
ORD100172,East,NORTH,Home Care,3770.83,0.19,716.4577,6,1/27/2023,02-02-2023,Regular,UPI,729.42,Hyderabad,Hyderabad,3054.3723
ORD100173,West,SOUTH,Clothing,1251.98,0.35,438.193,8,01-04-2024,01-09-2024,Regular,UPI,253.73,Chennai,Chennai,813.787
ORD100174,West,EAST,Clothing,4404.05,0.09,396.3645,2,1/13/2023,1/19/2023,New,UPI,941.87,Hyderabad,Hyderabad,4007.6855
ORD100175,South,WEST,Electronics,2703.93,0.48,1297.8864,5,01-01-2024,01-06-2024,Regular,UPI,671.84,Pune,Pune,1406.0436
ORD100176,East,NORTH,Grocery,3057.15,0.33,1008.8595,3,05-03-2023,05-04-2023,Regular,UPI,814,Hyderabad,Hyderabad,2048.2905
ORD100177,East,SOUTH,Grocery,540.72,0.03,16.2216,5,12/15/2024,12/17/2024,Member,Card,66.46,Delhi,Delhi,524.4984
ORD100178,North,EAST,Clothing,1616.59,0.26,420.3134,8,09-11-2023,9/18/2023,New,UPI,479.33,Bangalore,Bangalore,1196.2766
ORD100179,East,WEST,Home Care,2191,0.38,832.58,6,12/15/2024,12/17/2024,New,Cash,336.28,Chennai,Chennai,1358.42
ORD100180,North,NORTH,Electronics,2128.16,0.14,297.9424,1,11-06-2024,11-11-2024,Regular,Cash,523.61,Pune,Pune,1830.2176
ORD100181,East,SOUTH,Grocery,3913.59,0.03,117.4077,7,12/27/2023,12/30/2023,New,UPI,235.73,Mumbai,Mumbai,3796.1823
ORD100182,South,EAST,Grocery,1483.38,0.24,356.0112,1,07-05-2023,07-11-2023,New,UPI,350.59,Chennai,Chennai,1127.3688
ORD100183,East,WEST,Personal Care,992.34,0.42,416.7828,1,11/16/2023,11/19/2023,Member,UPI,255.64,Hyderabad,Hyderabad,575.5572
